Energy	F.Density
1200	1.336e+15
1208	1.439e+15
1216	1.563e+15
1224	1.689e+15
1232	1.811e+15
1240	1.954e+15
1248	2.129e+15
1256	2.308e+15
1264	2.48e+15
1272	2.681e+15
1280	2.939e+15
1288	3.219e+15
1296	3.486e+15
1304	3.794e+15
1312	4.2e+15
1320	4.651e+15
1328	5.081e+15
1336	5.585e+15
1344	6.313e+15
1352	7.206e+15
1360	8.098e+15
1368	9.228e+15
1376	1.125e+16
1384	1.422e+16
1392	1.673e+16
1400	1.661e+16
1408	1.305e+16
1416	7.658e+15
1424	3.153e+15
1432	1.024e+15
1440	6.921e+14
1448	7.77e+14
1456	6.039e+14
1464	3.637e+14
1472	3.149e+14
1480	3.587e+14
1488	3.212e+14
1496	2.368e+14
1504	2.158e+14
1512	2.405e+14
1520	2.3e+14
1528	1.891e+14
1536	1.767e+14
1544	1.93e+14
1552	1.916e+14
1560	1.686e+14
1568	1.602e+14
1576	1.719e+14
1584	1.744e+14
1592	1.609e+14
1600	1.551e+14
